Trump,Warren,Text,id,created_at,user_id,coordinates,location
0.5833333333333334,0.401388888888889,"RT @WasARepublican2: Trump doesn’t want “to get in to it” when asked what his favorite bible verse was. Because, you know...”it’s very pers…",1264116258196389889,Sat May 23 08:49:36 +0000 2020,1026100447445180416,,Irrelevant
0.5833333333333334,0.6680555555555557,"RT @iamwandasykes: Biden feels at home speaking to the Black community.  He made a joke.  Comedy ain’t easy, but he didn’t say 2 go shoot C…",1264116258913636352,Sat May 23 08:49:36 +0000 2020,3732463632,,"Little Rock, AR"
0.55,0.6680555555555557,"RT @JoeSudbay: ""Trump recently asked prominent allies to tweet negative things about Graham, and he has been complaining that Graham is a h…",1264116260402417664,Sat May 23 08:49:37 +0000 2020,3165895034,,
0.3833333333333334,0.12222222222222234,i hate it here so hard,1264116260708679680,Sat May 23 08:49:37 +0000 2020,2719979525,,
0.28333333333333344,0.12222222222222234,U.K. government is adopting an alarming number of #Trump tactics...,1264116261514067969,Sat May 23 08:49:37 +0000 2020,22636733,,"London, Miami, Doha, Mali"
0.9083333333333334,0.12222222222222234,"RT @ndrewkellyborel: @RealCandaceO @JoeBiden If you support Trump, you love America!",1264116261707034626,Sat May 23 08:49:37 +0000 2020,575442863,,"North Carolina, USA"
0.9083333333333334,0.5222222222222224,"RT @charliekirk11: BREAKING:

President Trump has deemed 'Places of Worship' as ESSENTIAL!

This is huge. 

RT if you're THANKFUL to have a…",1264116261786718210,Sat May 23 08:49:37 +0000 2020,42667353,,
0.9083333333333334,0.5222222222222224,"RT @markoftheD: Hydroxychloroquine: Trump’s Covid-19 ‘cure’ increases deaths, global study finds

https://t.co/7gY27UqLIJ",1264116262973648900,Sat May 23 08:49:37 +0000 2020,52400775,,"Loire Valley, France"
0.9083333333333334,0.5222222222222224,She should be indicted or pled out b4 November. Disgorge her gains along the way...,1264116262935748609,Sat May 23 08:49:37 +0000 2020,249499907,,
0.9083333333333334,0.5222222222222224,@realDonaldTrump @DallasLoveField trump is the virus he don't want to wear a mask and everything comes out his mout… https://t.co/3Ptih0Yhyk,1264116262973706248,Sat May 23 08:49:37 +0000 2020,1232835001500282880,,
